Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,54,3456000,76.35,76.26,0.09,5898.15,100%
write,write,36,2304000000,762.72,361.5,0.06,3932102.96,100%
write,write,17,17000000000,10060.82,429.35,0.03,29012912.45,100%
list,list,48,0,12.75,12.75,0.08,0,100%
delete,delete,38,0,48.26,48.26,0.06,0,100%
read,read,111,7104000,21.18,19.09,0.19,12123.98,100%
read,read,90,5760000000,468.46,55.19,0.15,9830257.4,100%
read,read,55,55000000000,6115.24,75.16,0.09,93865304.99,100%
write,write,42,2688000,158.38,158.36,0.07,4520.17,100%
write,write,32,2048000000,699.78,340.75,0.05,3443938.47,100%
write,write,18,18000000000,10537.89,903.78,0.03,30268990.43,100%
list,list,36,0,13.5,13.5,0.06,0,100%
delete,delete,48,0,50.02,50.02,0.08,0,100%
read,read,109,6976000,39.61,37.53,0.18,11730.92,100%
read,read,126,8064000000,459.39,40.33,0.21,13560507.71,100%
read,read,54,54000000000,5755.74,65.04,0.09,90806971.28,100%
write,write,27,1728000,82.41,82.33,0.05,2884.31,100%
write,write,28,1792000000,767.86,437.79,0.05,2991138.42,100%
write,write,26,26000000000,10029.69,480.77,0.04,43398213.66,100%
list,list,52,0,9.04,9.04,0.09,0,100%
delete,delete,47,0,44.77,44.77,0.08,0,100%
read,read,97,6208000,13.41,13.25,0.16,10362.16,100%
read,read,102,6528000000,470.09,58.47,0.17,10896289.95,100%
read,read,49,49000000000,5361.92,62.47,0.08,81788941.13,100%
write,write,27,1728000,53.15,53.04,0.05,2901.22,100%
write,write,27,1728000000,741.15,257.26,0.05,2901222.44,100%
write,write,17,17000000000,10250.18,583.12,0.03,28542118.93,100%
list,list,35,0,21.6,21.6,0.06,0,100%
delete,delete,39,0,110.44,110.44,0.07,0,100%
read,read,90,5760000,40.02,39.71,0.15,9670.74,100%
read,read,98,6272000000,452.39,57.1,0.16,10530362.94,100%
