Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,23,1472000000,683.09,288.43,0.08,4907222.82,100%
write,write,9,9000000000,7837.67,454.22,0.03,30003400.39,100%
list,list,32,0,66.75,66.75,0.11,0,100%
delete,delete,23,0,49.09,49.09,0.08,0,100%
read,read,63,4032000,36.76,36.56,0.21,13441.52,100%
read,read,85,5440000000,498.96,59.38,0.28,18135388.68,100%
read,read,30,30000000000,5456.93,51.33,0.1,100011334.62,100%
write,write,27,1728000,62.7,62.59,0.09,5842.73,100%
write,write,19,1216000000,800,351.74,0.06,4111552.92,100%
write,write,8,8000000000,8137.12,293.88,0.03,27049690.28,100%
list,list,30,0,28.7,28.7,0.1,0,100%
delete,delete,14,0,46.79,46.79,0.05,0,100%
read,read,52,3328000,23.48,23.33,0.18,11252.67,100%
read,read,68,4352000000,517.1,57.68,0.23,14715031.51,100%
read,read,32,32000000000,5494.72,94.66,0.11,108198761.12,100%
write,write,18,1152000,148.33,148.22,0.06,3842.96,100%
write,write,23,1472000000,779.74,337.22,0.08,4910447.71,100%
write,write,8,8000000000,6948.38,426.12,0.03,26687215.82,100%
list,list,26,0,23.54,23.54,0.09,0,100%
delete,delete,18,0,75.11,75.11,0.06,0,100%
read,read,76,4864000,36.07,33.01,0.25,16225.83,100%
read,read,58,3712000000,530.43,70.26,0.19,12382868.14,100%
read,read,32,32000000000,5877.41,84.94,0.11,106748863.29,100%
write,write,8,512000,147.12,147,0.03,1766.55,100%
write,write,8,512000000,1354.75,512.75,0.03,1766552.81,100%
write,write,4,4000000000,12180,371.5,0.01,13801193.8,100%
list,list,20,0,33.35,33.35,0.07,0,100%
delete,delete,15,0,60.47,60.47,0.05,0,100%
read,read,28,1792000,64.57,64.25,0.1,6182.93,100%
read,read,41,2624000000,736.93,84.29,0.14,9053583.13,100%
read,read,19,19000000000,10288.68,120.53,0.07,65555670.57,100%
write,write,16,1024000,187.25,187.25,0.05,3421.73,100%
write,write,7,448000000,1074.43,435.43,0.02,1497005.99,100%
write,write,7,7000000000,14833.86,575.86,0.02,23390718.56,100%
list,list,14,0,38.14,38.14,0.05,0,100%
delete,delete,14,0,66.93,66.93,0.05,0,100%
read,read,29,1856000,52.55,52.31,0.1,6201.88,100%
read,read,35,2240000000,910.09,95.4,0.12,7485029.94,100%
read,read,14,14000000000,10717.29,108.57,0.05,46781437.13,100%
write,write,12,768000,164.58,164.42,0.04,2619.1,100%
write,write,13,832000000,1227.08,405.08,0.04,2837353.49,100%
write,write,6,6000000000,12886.83,418.67,0.02,20461683.79,100%
list,list,14,0,52.57,52.57,0.05,0,100%
delete,delete,15,0,120,120,0.05,0,100%
read,read,44,2816000,52.07,51.91,0.15,9603.35,100%
read,read,35,2240000000,815.77,76.83,0.12,7639028.62,100%
read,read,15,15000000000,10971.73,155.6,0.05,51154209.48,100%
write,write,10,640000,142.4,142.3,0.03,2187.26,100%
write,write,8,512000000,1494.75,478.5,0.03,1749811.18,100%
write,write,1,1000000000,14667,344,0,3417599.96,100%
list,list,8,0,37,37,0.03,0,100%
delete,delete,14,0,404.93,404.93,0.05,0,100%
read,read,39,2496000,57.08,51.72,0.13,8530.33,100%
read,read,29,1856000000,751.38,88.24,0.1,6343065.52,100%
read,read,21,21000000000,11169.24,225.48,0.07,71769599.08,100%
write,write,14,896000,298.86,298.86,0.05,3000.84,100%
write,write,13,832000000,1113.46,472.85,0.04,2786494.88,100%
write,write,6,6000000000,13678,616.5,0.02,20094914.98,100%
list,list,21,0,44,44,0.07,0,100%
delete,delete,20,0,105.55,105.55,0.07,0,100%
read,read,33,2112000,60.52,60.36,0.11,7073.41,100%
read,read,34,2176000000,848.06,105,0.11,7287755.83,100%
read,read,16,16000000000,10247.94,75.62,0.05,53586439.95,100%
write,write,11,704000,131,130.73,0.04,2414.41,100%
write,write,9,576000000,1298.44,629.33,0.03,1975423.81,100%
write,write,7,7000000000,13681.57,937.14,0.02,24006886.55,100%
list,list,9,0,42.33,42.33,0.03,0,100%
delete,delete,14,0,70.43,70.43,0.05,0,100%
read,read,34,2176000,98.26,98.06,0.12,7462.71,100%
read,read,36,2304000000,797.47,97.36,0.12,7901695.23,100%
read,read,14,14000000000,10660.79,105.29,0.05,48013773.09,100%
write,write,12,768000,250.08,250.08,0.04,2593.89,100%
write,write,10,640000000,1286,446,0.03,2161577.95,100%
write,write,8,8000000000,13654.62,641.88,0.03,27019724.4,100%
list,list,24,0,53.04,53.04,0.08,0,100%
delete,delete,10,0,72.9,72.9,0.03,0,100%
read,read,23,1472000,107.48,98.35,0.08,4971.63,100%
read,read,20,1280000000,877.4,84.7,0.07,4323155.9,100%
read,read,14,14000000000,10638.21,87.07,0.05,47284517.7,100%
write,write,12,768000,196.58,196.58,0.04,2562.24,100%
write,write,12,768000000,1265.58,510.25,0.04,2562237.69,100%
write,write,2,2000000000,13452.5,574,0.01,6672493.98,100%
list,list,10,0,55.4,55.4,0.03,0,100%
delete,delete,15,0,77.33,77.33,0.05,0,100%
read,read,22,1408000,146.45,137,0.07,4697.44,100%
read,read,46,2944000000,822.37,74.52,0.15,9821911.14,100%
read,read,20,20000000000,10625.25,94.5,0.07,66724939.78,100%
write,write,11,704000,78.73,78.55,0.04,2350.02,100%
write,write,11,704000000,1125.73,522.64,0.04,2350019.36,100%
write,write,5,5000000000,10444.2,494.6,0.02,16690478.42,100%
list,list,21,0,42.57,42.57,0.07,0,100%
delete,delete,15,0,64.6,64.6,0.05,0,100%
read,read,35,2240000,58.74,58.6,0.12,7477.33,100%
read,read,36,2304000000,734.14,97.67,0.12,7690972.45,100%
read,read,24,24000000000,8488.83,74.75,0.08,80114296.4,100%
write,write,7,448000,104.14,104,0.02,1518.74,100%
write,write,17,1088000000,977.94,442.12,0.06,3688373.15,100%
write,write,3,3000000000,10645.33,421.33,0.01,10170146.55,100%
list,list,15,0,35.33,35.33,0.05,0,100%
delete,delete,20,0,56.7,56.7,0.07,0,100%
read,read,32,2048000,66.97,59.91,0.11,6942.82,100%
read,read,37,2368000000,621.59,94.22,0.13,8027635.68,100%
read,read,24,24000000000,9119.5,104.46,0.08,81361172.41,100%
write,write,13,832000,125.31,125.31,0.04,2780.09,100%
write,write,11,704000000,1030,395.64,0.04,2352382.96,100%
write,write,5,5000000000,10066,308.8,0.02,16707265.32,100%
list,list,17,0,20.18,20.18,0.06,0,100%
delete,delete,10,0,56.8,56.8,0.03,0,100%
read,read,42,2688000,30.67,30.45,0.14,8981.83,100%
read,read,36,2304000000,786.28,66.67,0.12,7698707.86,100%
read,read,23,23000000000,8932.91,101.52,0.08,76853420.48,100%
write,write,14,896000,59.5,59.36,0.05,3058.9,100%
write,write,15,960000000,913.13,391.73,0.05,3277390.11,100%
write,write,8,8000000000,9500.88,668.62,0.03,27311584.21,100%
list,list,21,0,31.95,31.95,0.07,0,100%
delete,delete,14,0,54.07,54.07,0.05,0,100%
read,read,34,2176000,33.76,27.62,0.12,7428.75,100%
read,read,26,1664000000,653.88,55.96,0.09,5680809.52,100%
read,read,21,21000000000,8703.81,102.52,0.07,71692908.55,100%
write,write,20,1280000,81.85,81.8,0.07,4338.1,100%
write,write,20,1280000000,838.3,515.75,0.07,4338100.73,100%
write,write,10,10000000000,6957.4,333.9,0.03,33891411.92,100%
list,list,23,0,30.13,30.13,0.08,0,100%
delete,delete,23,0,50.65,50.65,0.08,0,100%
read,read,60,3840000,35.48,35.28,0.2,13014.3,100%
read,read,72,4608000000,420.1,64.51,0.24,15617162.61,100%
read,read,28,28000000000,6171.96,90.68,0.09,94895953.37,100%
write,write,23,1472000,172.48,172.35,0.08,4957.58,100%
write,write,20,1280000000,704.75,295.45,0.07,4310940.02,100%
write,write,11,11000000000,7151.27,439.82,0.04,37047140.8,100%
list,list,29,0,19.86,19.86,0.1,0,100%
delete,delete,24,0,48,48,0.08,0,100%
read,read,63,4032000,49.57,49.38,0.21,13579.46,100%
read,read,60,3840000000,413.07,54.77,0.2,12932820.06,100%
read,read,30,30000000000,5684.27,61.5,0.1,101037656.73,100%
write,write,18,1152000,54.06,54.06,0.06,3895.39,100%
write,write,32,2048000000,813.28,314.16,0.11,6925142.19,100%
write,write,7,7000000000,8523.43,487,0.02,23669919.59,100%
list,list,30,0,21.8,21.8,0.1,0,100%
delete,delete,33,0,43.39,43.39,0.11,0,100%
read,read,68,4352000,54.68,54.4,0.23,14715.93,100%
read,read,72,4608000000,455.28,61.25,0.24,15581569.92,100%
read,read,32,32000000000,5326.41,54.22,0.11,108205346.7,100%
write,write,25,1600000,59.36,59.2,0.08,5404.73,100%
write,write,23,1472000000,759.57,356.65,0.08,4972351.43,100%
write,write,12,12000000000,8556.67,373.58,0.04,40535473.61,100%
list,list,21,0,18.24,18.24,0.07,0,100%
delete,delete,26,0,44.15,44.15,0.09,0,100%
read,read,67,4288000,21.94,21.72,0.23,14484.68,100%
read,read,57,3648000000,412.05,48.28,0.19,12322783.98,100%
read,read,29,29000000000,5099.07,51.97,0.1,97960727.88,100%
write,write,20,1280000,59.3,59.25,0.07,4399.25,100%
write,write,24,1536000000,707.17,270.92,0.08,5279094.31,100%
