Timestamp,Op-Count,,,,,,,,Byte-Count,,,,,,,,Avg-ResTime,,,,,,,,Avg-ProcTime,,,,,,,,Throughput,,,,,,,,Bandwidth,,,,,,,,Succ-Ratio,,,,,,,,Version-Info,,
,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,Min-Version,Version,Max-Version
08:56:49,21,22,12,17,25,60,53,31,1344000,1408000000,12000000000,0,0,3840000,3392000000,31000000000,124.24,845.05,9829.75,10.94,62.92,53.13,487.64,7038.48,124.14,503.64,290.17,10.94,62.92,52.83,88.32,68,4.29,4.51,2.51,3.64,5.24,12.32,11,6.53,274832.55,288554232.24,2505426093.46,0,0,788509.66,703733141.42,6534900928.36,100%,100%,100%,100%,100%,100%,100%,100%,22,22,22
08:56:54,15,37,13,20,31,63,64,37,960000,2368000000,13000000000,0,0,4032000,4096000000,37000000000,64.8,1079.24,15085.69,18.15,49.74,24.05,635.66,6952.08,64.8,560.38,417.15,18.1,49.74,23.73,81.77,90.03,3.11,7.72,2.54,4.08,6.73,13.04,12.96,7.71,198931.6,493930870.04,2538404105.75,0,0,834274.68,829594202.19,7710938677.32,100%,100%,100%,100%,100%,100%,100%,100%,23,23,23
08:56:59,15,25,20,18,26,72,51,28,960000,1600000000,20000000000,0,0,4608000,3264000000,28000000000,187,1056.92,11833.5,1144.94,604.73,652.88,449.16,6546.21,187,357.2,685.15,1144.94,604.73,652.61,44.75,51.75,3.02,4.77,3.8,3.29,4.96,13.89,9.77,5.53,193565.31,305438595.37,3803466417.58,0,0,889075.64,625587937.03,5528815464.65,100%,100%,100%,100%,100%,100%,100%,100%,24,24,24
08:57:04,15,26,8,26,34,73,64,42,960000,1664000000,8000000000,0,0,4672000,4096000000,42000000000,92.33,805.23,10611,12.73,52.15,35.01,395.16,6928.93,92.2,359.81,251.62,12.73,52.15,32,47.33,66.67,2.83,4.92,1.72,5.33,6.49,14.17,12.24,8.4,181118.91,314868885.54,1721297816.09,0,0,907098.07,783328778.78,8402227555.43,100%,100%,100%,100%,100%,100%,100%,100%,25,25,25
08:57:09,19,31,9,29,22,59,54,41,1216000,1984000000,9000000000,0,0,3776000,3456000000,41000000000,76.74,923.19,10640.22,10.9,49.82,20.83,482.87,8131.51,76.58,516.77,227.67,10.9,49.82,20.63,72.46,100.51,4,6.73,1.58,6.11,4.23,12.68,10.77,8.08,255803.98,430967521.85,1576691010.68,0,0,811364.51,689223006.48,8082949818.71,100%,100%,100%,100%,100%,100%,100%,100%,26,26,26
08:57:14,35,20,15,33,53,89,93,39,2240000,1280000000,15000000000,0,0,5696000,5952000000,39000000000,79.37,782.7,9504.27,31.33,50.79,23.47,465.68,7106.67,79.29,455.8,411.4,31.33,50.79,23.26,48.02,85.38,7.18,3.92,3.09,6.78,10.63,18.06,18.08,7.85,459531.85,250958233.91,3091946869.92,0,0,1155577.89,1157166949.6,7848864134.45,100%,100%,100%,100%,100%,100%,100%,100%,27,27,27
08:57:19,30,25,6,32,25,58,80,39,1920000,1600000000,6000000000,0,0,3712000,5120000000,39000000000,53.63,756.64,11618.17,1103.91,52.48,29.33,812.88,6569.82,53.57,446.48,1673,1103.91,52.48,29.1,295.69,67.56,6.28,5.3,1.3,6.37,5.22,11.86,16.61,7.65,401863.68,339137992.77,1295869544.6,0,0,759221.99,1063026280.11,7654683117.27,100%,100%,100%,100%,100%,100%,100%,100%,28,28,28
08:57:24,22,31,15,28,28,79,77,49,1408000,1984000000,15000000000,0,0,5056000,4928000000,49000000000,175.14,1013.16,12279.47,10.11,44.54,22.78,450.58,6954.59,175.09,611.06,310.47,10.11,44.54,22.54,48.44,705.29,4.17,6.35,2.9,5.62,5.47,15.51,15.66,9.6,266957.11,406135653.56,2897666385.18,0,0,992824.03,1002259035.39,9599908911.98,100%,100%,100%,100%,100%,100%,100%,100%,29,29,29
08:57:29,14,7,4,19,9,24,39,23,896000,448000000,4000000000,0,0,1536000,2496000000,23000000000,48.93,1137.14,10690.25,16.37,56.11,28.04,780.08,7313.13,48.93,241,240,16.37,56.11,19.54,51.64,471.43,2.91,1.38,0.88,3.85,1.69,5.12,7.85,4.92,185966.32,88559135.97,880713214.98,0,0,327613.82,502245582.82,4924401665.12,100%,100%,100%,100%,100%,100%,100%,100%,30,30,30
08:57:34,19,20,15,26,24,64,65,29,1216000,1280000000,15000000000,0,0,4096000,4160000000,29000000000,415.68,913.55,11232.2,9.58,57.75,20.48,734.34,7977.86,415.53,333.1,312.53,9.58,57.75,20.28,54.51,71.83,4,4.35,2.77,5.57,5.18,13.49,13.83,6.22,256297.9,278102609.92,2770331703.42,0,0,863469.91,885197520.38,6223981885.83,100%,100%,100%,100%,100%,100%,100%,100%,31,31,31
08:57:39,26,34,18,35,33,96,94,43,1664000,2176000000,18000000000,0,0,6144000,6016000000,43000000000,62.04,1108.06,13282.67,18.17,51.58,23.51,546.29,6886.91,61.92,473.82,607,18.17,51.58,23.27,36.68,57.98,4.74,6.26,3.66,6.28,6.1,17.16,17.09,7.98,303470.23,400323420.05,3661649737.42,0,0,1098455.69,1093676683.83,7977763725.64,100%,100%,100%,100%,100%,100%,100%,100%,32,32,32
08:57:44,26,18,10,25,31,67,81,40,1664000,1152000000,10000000000,0,0,4288000,5184000000,40000000000,146.77,689.61,9323.4,26.8,51.58,33.16,386.43,6561.88,146.73,245.83,359.9,26.8,51.58,32.97,50.81,80.18,5.29,3.98,1.89,5.29,6.06,13.16,17.3,7.92,338349.11,254431349.58,1892425852.25,0,0,842132.74,1107272207.87,7917573812.13,100%,100%,100%,100%,100%,100%,100%,100%,33,33,33
08:57:49,12,30,9,27,16,61,61,31,768000,1920000000,9000000000,0,0,3904000,3904000000,31000000000,119.67,826.6,10352.33,683.85,88.81,960.97,1251.98,6031.65,119.67,387.2,623.56,683.85,88.81,960.74,851.89,70.52,2.26,5.82,1.76,5.59,2.96,12.44,12.29,5.83,144331.47,372629306.22,1759285511.01,0,0,795982.92,786282286.36,5828558409.04,100%,100%,100%,100%,100%,100%,100%,100%,34,34,34
08:57:54,34,37,14,44,45,100,106,44,2176000,2368000000,14000000000,0,0,6400000,6784000000,44000000000,151.59,825.95,11134.71,13.93,53.84,29.88,464.2,6484.84,151.53,365,323.64,13.93,53.84,27.6,45.99,76.7,6.82,7.8,2.82,9.28,8.9,21.58,22.4,9.32,436305.77,498941841.25,2818400940.94,0,0,1381021.65,1433573243.84,9322482451.96,100%,100%,100%,100%,100%,100%,100%,100%,35,35,35
08:57:59,26,26,9,41,33,76,87,36,1664000,1664000000,9000000000,0,0,4864000,5568000000,36000000000,69.81,1714.23,10767.78,162.59,990.39,795,522.11,7111.78,69.46,575.58,356.67,162.59,990.39,794.67,91.03,172.83,5.33,5.83,1.87,8.17,7.5,15.94,18.14,7.18,340817.11,373079498.92,1866628336.37,0,0,1020044.62,1160642361.43,7177676223.33,100%,100%,100%,100%,100%,100%,100%,100%,36,36,36
