Timestamp,Op-Count,,,,,,,,Byte-Count,,,,,,,,Avg-ResTime,,,,,,,,Avg-ProcTime,,,,,,,,Throughput,,,,,,,,Bandwidth,,,,,,,,Succ-Ratio,,,,,,,,Version-Info,,
,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,Min-Version,Version,Max-Version
08:50:24,16,19,11,21,32,79,77,41,1024000,1216000000,11000000000,0,0,5056000,4928000000,41000000000,123.19,3216,9607,1025.81,42.44,753.78,797.49,6869.88,123,245.16,474.27,1025.81,42.44,753.57,343.25,76.56,3,3.54,2.14,4.22,6.52,15.29,14.89,8.15,192025.58,226825458.05,2139281112.43,0,0,978421.86,952705470.89,8148254278.48,100%,100%,100%,100%,100%,100%,100%,100%,24,24,24
08:50:29,23,32,14,28,38,65,69,42,1472000,2048000000,14000000000,0,0,4160000,4416000000,42000000000,148.09,886.88,8106.64,31.93,48.47,41.52,537.01,6691.71,147.96,421.31,470.21,31.93,48.47,41.25,77.06,74.33,4.47,6.83,2.75,5.72,7.43,12.62,13.69,7.98,286372.87,437401624.64,2749026311.92,0,0,807646.11,876392595.98,7976643375.47,100%,100%,100%,100%,100%,100%,100%,100%,25,25,25
08:50:34,32,34,12,48,45,90,97,38,2048000,2176000000,12000000000,0,0,5760000,6208000000,38000000000,101.81,863.94,8567.5,25.96,54.67,65.1,532.35,7190.08,101.78,400.62,297.42,25.96,54.67,64.86,67.87,116.26,5.59,6.16,2.36,8.9,7.72,16.32,17.44,7.12,357675.62,393970147.24,2359865708.19,0,0,1044560.15,1115897966.56,7120145258.76,100%,100%,100%,100%,100%,100%,100%,100%,26,26,26
08:50:39,14,27,10,20,19,54,60,34,896000,1728000000,10000000000,0,0,3456000,3840000000,34000000000,116.86,837.44,9019,36.05,53.79,36.26,613.9,7521.24,116.79,354.78,486.3,36.05,53.79,36,88.3,139.29,3.04,5.78,2.06,4.35,4.46,11.11,12.61,7.41,194302.76,369700629.09,2055287392.3,0,0,710726.38,806810458.06,7412981711.51,100%,100%,100%,100%,100%,100%,100%,100%,27,27,27
08:50:44,24,30,13,38,46,80,85,43,1536000,1920000000,13000000000,0,0,5120000,5440000000,43000000000,99.42,1013.93,7956.85,1056.53,44.83,422.41,470.15,7021.81,99.33,327.33,460.23,1056.53,44.83,422.2,59.31,85.02,4.65,6.19,2.77,8.01,9.43,16.25,17.28,8.52,297849.06,396037881.11,2774550907.43,0,0,1040138.86,1106160792.76,8523645494.25,100%,100%,100%,100%,100%,100%,100%,100%,28,28,28
08:50:49,19,21,9,22,37,64,67,31,1216000,1344000000,9000000000,0,0,4096000,4288000000,31000000000,61.79,641.24,8267.22,20.32,48.62,60.64,534,7146.35,61.58,271.1,478.78,20.32,48.62,60.39,66.45,73.13,4.53,4.57,1.85,4.56,8.53,14.54,15.28,6.43,289728.15,292371290.02,1850647379.13,0,0,930321.51,978140878.88,6428325032.45,100%,100%,100%,100%,100%,100%,100%,100%,29,29,29
08:50:54,29,29,7,31,34,56,75,43,1856000,1856000000,7000000000,0,0,3584000,4800000000,43000000000,83.45,913.86,10167.29,563.77,48.59,27.59,539.88,8155.23,83.34,374.62,528.57,563.77,48.59,27.41,61.09,118.3,5.97,5.41,1.48,6.6,7.31,12.11,15.82,9.15,381828.39,346475586.7,1483523487.31,0,0,774776.05,1012423657.32,9149377073.58,100%,100%,100%,100%,100%,100%,100%,100%,30,30,30
08:50:59,27,30,14,32,36,87,79,29,1728000,1920000000,14000000000,0,0,5568000,5056000000,29000000000,89.89,1052.83,10788.64,17.16,56.17,47.9,648.99,7019.28,89.85,263.23,627.43,17.16,56.17,45.37,58.67,56.97,4.63,5.24,2.59,5.97,6.72,15.66,14.25,5.3,296390.74,335048969.52,2592599343.74,0,0,1002193.29,911886825.76,5299557428.54,100%,100%,100%,100%,100%,100%,100%,100%,31,31,31
08:51:04,19,20,14,29,30,69,68,37,1216000,1280000000,14000000000,0,0,4416000,4352000000,37000000000,1928.84,732.95,11030.36,52.48,53.03,821.19,583.6,7905.24,1928.84,293.6,592.64,52.45,53.03,820.94,119.78,81.11,3.84,3.98,2.57,5.56,5.81,13.02,13.5,7.52,245982.14,254563842.61,2574104309.08,0,0,833014.44,863783525.52,7517371746.27,100%,100%,100%,100%,100%,100%,100%,100%,32,32,32
08:51:09,24,17,14,35,35,77,71,36,1536000,1088000000,14000000000,0,0,4928000,4544000000,36000000000,122.75,865.41,8241.36,23.89,49.71,51.42,547,6788.39,122.75,303.88,477.57,23.89,49.71,51.14,54.56,132.39,5.04,3.54,2.84,7.2,7.62,15.88,14.11,7.21,322511.04,226288924.17,2839508577.02,0,0,1016638.25,902990015.35,7214802970.53,100%,100%,100%,100%,100%,100%,100%,100%,33,33,33
